$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   5 Nick Ferrari,Unknown
   5 Neil Hamilton (politician),UK Independence Party
   5 Matt Hancock,Conservative Party
   5 Mary Beard (classicist),Unknown
   5 Martin McGuinness,Sinn Féin
   5 Mark Littlewood,Unknown
   5 Mark Durkan,Social Democratic and Labour Party
   5 Margaret Curran,Labour Party
   5 Lionel Barber,Unknown
   5 Kwasi Kwarteng,Conservative Party
   5 Kirstie Allsopp,Unknown
   5 Julian Fellowes,Conservative Party
   5 Jonathon Porritt,Unknown
   5 John Sergeant (journalist),Unknown
   5 John Maples,Conservative Party
   5 John Hume,Social Democratic and Labour Party
   5 Joan Lestor,Labour Party
   5 Jo Brand,Unknown
   5 Humza Yousaf,Scottish National Party
   5 Geoffrey Rippon,Conservative Party
   5 Frederick Forsyth,Unknown
   5 Frank Field (British politician),Independent
   5 Francis Pym,Conservative Party
   5 Estelle Morris,Labour Party
   5 Eric Pickles,Conservative Party
   5 Eric Forth,Conservative Party
   5 Dia Chakravarty,Unknown
   5 Clive James,Unknown
   5 Christopher Meyer,Unknown
   5 Bruce Anderson (columnist),Unknown
   5 Brenda Dean,Labour Party
   5 Bernard Levin,Unknown
   5 Beatrix Campbell,Unknown
   5 Archy Kirkwood,Liberal Party
   5 Angela Eagle,Labour Party
   5 Andrew Roberts (historian),Unknown
   5 Amber Rudd,Conservative Party
   5 Allison Pearson,Unknown
   5 "Tony Newton, Baron Newton of Braintree",Conservative Party
   5 "John Reid, Baron Reid of Cardowan",Labour Party
   5 "Jim Wallace, Baron Wallace of Tankerness",Liberal Party
   5 "George Young, Baron Young of Cookham",Conservative Party
   5 "David Howell, Baron Howell of Guildford",Conservative Party
   4 Victoria Coren Mitchell,Unknown
   4 Val McDermid,Unknown
   4 Tony Robinson,Unknown
   4 Tim Martin (businessman),Unknown
   4 Theo Paphitis,Unknown
   4 Tasmina Ahmed-Sheikh,Conservative Party
   4 Tariq Ali,Unknown
